STT,Loại hình cân,QR phế thải,Nhà máy - Phòng ban,Tên nhà thầu,Biển số xe,Nhóm phế thải,Mã phế thải,Tên phế thải nội bộ,Tên phế thải ngoại bộ,Tên phế thải tiếng anh,Phương pháp xử lí,Đặc tính,Phân loại,Cột biểu đồ,Phương pháp cân,Số vạch,Hệ số,Số Pallet,KL pallet,KL bao bì,KL/đơn vị,Mã xe đẩy,Trọng lượng xe đẩy,KL Tổng,KL bì,KL phế thải,Tên bản ghi,Thời gian tạo,Người vận hành
26,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:36:10 PM,,
27,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 12:36:06 PM,,
28,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 11:46:33 AM,,
29,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 11:45:53 AM,,
30,Output,S13W13TT,,Thuận Thành,18AE-1234,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,180.00,2.00,178.00,20250326-F1-GIAO-TT-18AE1234-01,3/26/2025 11:38:36 AM,,
31,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,98.70,50.00,48.70,20250319-F1-GIAO-TL-17M76429-01,3/19/2025 11:15:39 AM,,
32,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,98.90,50.00,48.90,20250319-F1-GIAO-TL-17M76429-01,3/19/2025 11:15:09 AM,,
33,Input,S13W4F2UV2,F2-UV2,,,Other Hazardous Waste,S13W4,Pin; ắc quy thải,Pin; ắc quy thải,Batteries waste ,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.90,0.00,33.90,20250319-F1-NHAN,3/19/2025 10:59:37 AM,,
34,Input,N01W3F1RGM,F1-RGO Manual,,,Waste Plastic,N01W3,Nhựa màu,Color plastic scrap ( Phế liệu nhựa màu),Color plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.80,0.00,33.80,20250319-F1-NHAN,3/19/2025 10:48:21 AM,,
35,Input,N01W3F1QCO,F1-QC OTHERS,,,Waste Plastic,N01W3,Nhựa màu,Color plastic scrap ( Phế liệu nhựa màu),Color plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.40,0.00,33.40,20250319-F1-NHAN,3/19/2025 10:46:03 AM,,
36,Input,N01W2F2NC2,F2-NCC,,,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.50,0.00,33.50,20250319-F1-NHAN,3/19/2025 10:45:52 AM,,
37,Input,N01W2F5STF,F5-Stiffener,,,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.40,0.00,33.40,20250319-F1-NHAN,3/19/2025 10:45:34 AM,,
38,Input,N01W1F5EXP,F5-Exposing,,,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,33.60,0.00,33.60,20250319-F1-NHAN,3/19/2025 10:45:17 AM,,
39,Input,N01W1F5EXP,F5-Exposing,,,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,24.90,0.00,24.90,20250319-F1-NHAN,3/19/2025 10:44:42 AM,,
40,Input,N01W1F5EXP,F5-Exposing,,,Waste Plastic,N01W1,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),Protected film from DFR roll,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,24.20,0.00,24.20,20250319-F1-NHAN,3/19/2025 10:43:56 AM,,
41,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:16 PM,,
42,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:12 PM,,
43,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:09 PM,,
44,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:04 PM,,
45,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 3:00:01 PM,,
46,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 2:59:55 PM,,
47,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 2:59:51 PM,,
48,Output,N1521TL,,Thăng Long,17M7-6429,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,180.00,50.00,130.00,20250318-F6-GIAO-TL-17M76429,3/18/2025 2:59:46 PM,,
