STT,Loại hình cân,QR phế thải,Nhà máy - Phòng ban,Tên nhà thầu,Biển số xe,Mã nhóm phế thải,Nhóm phế thải,Mã phế thải,Tên phế thải nội bộ,Tên phế thải ngoại bộ,Tên phế thải tiếng anh,Phương pháp xử lí,Đặc tính,Phân loại,Cột biểu đồ,Phương pháp cân,Số vạch,Hệ số,Số Pallet,KL pallet,KL bao bì,KL/đơn vị,Mã xe đẩy,Trọng lượng xe đẩy,KL Tổng,KL bì,KL phế thải,Tên bản ghi,Thời gian tạo,Người vận hành
37,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.10,0.00,65.10,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:56:00 PM,Ngô Viết Đàn - ID:PA0058,
38,Output,N03W2TT,,Thuận Thành,18AE-1234,N03,Waste Metal,N03W2,Phế liệu sắt vụn,Steel scrap (Phế liệu sắt vụn),Iron scrap,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.80,0.00,65.80,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:55:56 PM,Ngô Viết Đàn - ID:PA0058,
39,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.40,0.00,65.40,20250404-F1-NHAN,4/4/2025 3:54:18 PM,Ngô Viết Đàn - ID:PA0058,
40,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.20,0.00,65.20,20250404-F1-NHAN,4/4/2025 3:53:55 PM,Ngô Viết Đàn - ID:PA0058,
41,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.00,0.00,65.00,20250404-F1-NHAN,4/4/2025 3:53:53 PM,Ngô Viết Đàn - ID:PA0058,
42,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.70,0.00,65.70,20250404-F1-NHAN,4/4/2025 3:53:50 PM,Ngô Viết Đàn - ID:PA0058,
43,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.20,0.00,65.20,20250404-F1-NHAN,4/4/2025 3:53:46 PM,Ngô Viết Đàn - ID:PA0058,
44,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.50,0.00,65.50,20250404-F1-NHAN,4/4/2025 3:53:33 PM,Ngô Viết Đàn - ID:PA0058,
45,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.90,0.00,65.90,20250404-F1-NHAN,4/4/2025 3:53:24 PM,Ngô Viết Đàn - ID:PA0058,
46,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.30,0.00,65.30,20250404-F1-NHAN,4/4/2025 3:50:28 PM,Ngô Viết Đàn - ID:PA0058,
47,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.20,0.00,65.20,20250404-F1-NHAN,4/4/2025 3:50:25 PM,Ngô Viết Đàn - ID:PA0058,
48,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.90,0.00,65.90,20250404-F1-NHAN,4/4/2025 3:50:21 PM,Ngô Viết Đàn - ID:PA0058,
49,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.60,0.00,65.60,20250404-F1-NHAN,4/4/2025 3:50:16 PM,Ngô Viết Đàn - ID:PA0058,
50,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.30,0.00,65.30,20250404-F1-NHAN,4/4/2025 3:50:11 PM,Ngô Viết Đàn - ID:PA0058,
51,Input,N01W2F6SF,F6-Smart Factory,,,N01,Waste Plastic,N01W2,Nhựa PVC,White C Plastic ( Phế liệu nhựa loại 5),Material roll by PVC plastic,Recycle,Tái chế,Rác bán lấy tiền,Recycle_Non_hazardous_Waste,Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,65.20,0.00,65.20,20250404-F1-NHAN,4/4/2025 3:50:07 PM,Ngô Viết Đàn - ID:PA0058,
52,Output,S13W16TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W16,CFC; HCFC; HFC thải,Các chất CFC; HCFC; HFC thải,CFC; HCFC; HFC waste,Incineration without WtE,Nguy hại,Rác thuê xử lý,Other special control waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,67657.00,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:44:00 PM,Ngô Viết Đàn - ID:PA0058,
53,Output,N1521TL,,Thăng Long,17M7-6429,N15,Other Waste,N1521,aaaaaaaaaaa,,aaaaaaaaaaa,Recycle,Nguy hại,Rác thuê xử lý,Paper contain Nylon ,Cân xe đẩy,0,0.00,0,0.00,50.00,0.00,,0.00,69.90,50.00,19.90,20250404-F1-GIAO-TL-17M76429-01,4/4/2025 3:43:08 PM,Ngô Viết Đàn - ID:PA0058,
54,Output,M01W3TT,,Thuận Thành,18AE-1234,M01,Household Waste,M01W3,Thông tắc,Thông tắc đường ống nước thải,Unclog drain pipes,Recycle,Không nguy hại; không tái chế,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,89.00,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:41:46 PM,Ngô Viết Đàn - ID:PA0058,
55,Output,S13W13TT,,Thuận Thành,18AE-1234,S13,Other Hazardous Waste,S13W13,Thiết bị;linh kiện thải,Các thiết bị; bộ phận; linh kiện điện tử thải (trừ bản mạch điện tử không chứa các thành phần nguy hại vượt ngưỡng CTNH),Waste equipment and components with hazardous substance,Recycle,Nguy hại,Rác thuê xử lý,Recycle_Special_Controlled_Waste,Bao bì,0,0.00,0,0.00,2.00,0.00,,0.00,24.70,2.00,22.70,20250404-F1-GIAO-TT-18AE1234-02,4/4/2025 3:00:58 PM,Ngô Viết Đàn - ID:PA0058,
56,Output,S13W10MSD,,Matsuda,18EA-9876,S13,Other Hazardous Waste,S13W10,Than hoạt tính chứa Pd,Than hoạt tính chứa Palladium,Pd - Activated carbon ,Recycle,Nguy hại,Rác bán lấy tiền,Recycle_Special_Controlled_Waste,Cân từ trạm cân,0,0.00,0,0.00,0.00,0.00,,0.00,0.00,0.00,1323.00,20250404-F1-GIAO-MSD-18EA9876-01,4/4/2025 2:57:19 PM,Ngô Viết Đàn - ID:PA0058,
57,Input,N14W3F1MQC,F1-MQC,,,N14,Mixed Non recyclable Waste,N14W3,Rác công nghiệp,,Non-toxic (others),Incineration with WtE,Không nguy hại; không tái chế,Rác thuê xử lý,Non-toxic (others),Cân Thường,0,0.00,0,0.00,0.00,0.00,,0.00,180.00,0.00,180.00,20250404-F1-NHAN,4/4/2025 2:25:52 PM,Ngô Viết Đàn - ID:PA0058,
